time,1,AEX,AS51,ATX,BFX,DJIA,FCHI,FTSE,GDAXI,HSI,JKSE,KLSE,KS11,MIB#0Ò²È¥µô,MXX,N225,NZ50,OSEAX,PSI,RTS,SENSEX,SSMI,STI,TWII
2003-08-21,-0.0395,1.368893,0.1072017,0.1229628,0.8542993,0.2784772,0.7950345,0.1446412,1.834784,1.60663,1.310765,1.054304,2.325016,-0.04786063,0.51152,0.6862655,-0.8449146,1.311085,0.1995382,1.796242,0.9562144,1.049724,1.46179,1.231147
2003-08-26,0.2130,-1.091884,-0.2896345,0.4109552,-1.053819,0.2448104,-1.053369,-1.147685,-1.274542,-0.09559485,-0.05292006,-0.1670561,-0.4929077,-0.7606393,0.03214567,0.5442505,0.5621607,-0.4822531,-1.049838,-1.313362,3.687236,-0.3015991,-1.91051,-2.261359
2003-08-27,0.0105,1.226256,0.4009836,0.01987645,0.4033489,-0.07130445,0.7163739,0.6942117,0.7987341,-0.700952,0.397151,0.4858135,0.7941541,0.6209372,0.8653171,-0.2282111,-0.2774412,0.2907521,-0.4756329,-0.2440927,1.282907,0.4518355,-0.2009231,-0.08671478
2003-08-28,-0.6784,0.02718758,0.5377558,-0.007357854,-0.9072461,0.4330494,1.308831,-0.1996934,0.2753266,0.7638707,-0.1167907,0.2511342,-0.8129309,0.4146177,0.8185751,-0.8125966,0.4682915,0.5089507,-1.970375,1.355376,0.1600258,0.4054054,0.2565805,-0.5457898
2003-08-29,0.4443,-0.513419,0.08445265,-0.5740986,-1.357645,0.4438812,-0.3469817,-0.8789877,-0.2316235,1.383536,-0.1056121,-0.4273336,0.8846818,-0.6529672,0.3692698,1.157238,1.21508,0.3845946,-2.100268,1.605961,0.770126,-1.476635,0.2825246,2.312279
2003-09-03,0.0926,1.492224,-0.220637,0.6347792,1.93873,0.4745264,1.749445,1.372376,2.251347,1.484651,3.582959,0.4245119,-0.02348241,1.271267,0.6175898,0.2395712,0.4563427,0.6987288,1.919383,-1.181569,-1.872701,2.044359,0.2892943,-0.7482574
2003-09-04,-0.0290,-0.4803281,0.4858482,-0.5516591,-0.2561709,0.203172,-0.3532242,-0.3120596,0.5801194,0.3265951,3.034483,0.9514644,-0.2831693,-0.09438414,0.004661973,-0.6414914,0.09562934,0.7876443,-0.6129769,1.450188,1.23463,0.1474165,0.1070653,-0.8381594
2003-09-05,-1.0985,-0.1648069,-0.3936138,-0.07882431,-0.2906074,-0.8819506,-0.5259916,0.1977121,-1.661637,0.287201,1.239591,0.5609723,-0.3402521,-0.113368,0.7236221,0.03587258,0.2019138,-0.8249097,0.5438142,-0.8899243,1.360864,0.2226975,0.4221585,0.2381938
2003-09-08,-0.4052,0.8755125,0.5134109,0.9291432,0.8967692,0.8728531,0.5001833,0.8197853,0.9374387,-0.04771519,0.8139837,-1.007296,-0.1707029,1.248463,0.505316,0.3097451,-0.3018047,0.6941842,1.487214,-1.008401,1.48953,0.4839323,0.4905434,1.560197
2003-09-09,-0.3970,-1.350095,0.1547844,-0.5847752,-0.7682416,-0.8250308,-1.010639,-0.6570256,-1.29424,-1.060967,-0.3015057,-0.8052197,0.9483752,-1.064923,-1.045859,2.230304,0.0721854,-0.2794839,3.200871,-0.5174488,-0.2040887,-0.7214737,-2.802973,-0.808796
2003-09-17,-1.1578,0.860988,0.7106393,-0.3192492,0.2243444,-0.2267031,0.2220647,-0.1395673,-0.1043543,0.6202472,0.8017158,0.7064266,0.3876252,0.1515869,0.2251208,0.9468154,0.8354892,0.1141241,1.945326,-0.9781477,-0.921689,0.5119708,1.078946,0.8401156
2003-09-18,0.0475,0.3023265,0.1336664,-0.09769463,0.03723034,1.188808,0.6211112,0.5054786,1.431889,-0.6358147,-0.5495675,-0.4779126,-1.097071,1.2014,1.571537,0.3931713,-0.001787442,-0.8105875,-0.06739421,-0.0517824,-2.389417,0.438982,-0.07967836,0.06385649
2003-09-19,0.0640,-1.057916,-0.09933726,0.424263,-0.6095752,-0.1481455,-1.21142,-1.337293,-0.9224774,-0.9106315,0.5114178,0.09953731,-1.309714,-0.04673771,0.2972713,-0.8601254,0.9326037,-0.3128427,-0.7509102,-0.8946699,2.006948,-0.6546675,-0.6145117,0.1234626
2003-09-24,0.2920,-0.161117,0.8771899,-0.3621573,-0.1304476,-1.571947,-0.06919724,0.348194,-3.039558,3.211967,2.90734,1.051218,0.8152002,0.1152184,-0.5921286,0.259572,0.1791805,0.7297354,1.194153,0.6342686,2.946818,0.3510915,3.021983,0.6747015
