time,SH,DJIA,FCHI,FTSE,HSI,N225,SSMI,STI,TWII
2019/8/13,-0.6300143,1.475803,0.9935346,0.3345873,-2.104263,-1.108933,0.2686542,-0.7008641,-1.047521
2019/8/14,0.4166589,-3.046016,-2.084068,-1.420789,0.08298036,0.9762264,-1.612057,0.02765147,0.6279306
2019/8/16,0.2850305,1.198696,1.219414,0.7094958,0.9364795,0.06449271,1.271357,-0.3537984,0.9078976
2019/8/19,2.099032,0.96492,1.335084,1.018666,2.166839,0.7069443,0.9991396,0.430812,0.6511953
2019/8/20,-0.1073489,-0.6632653,-0.5011565,-0.8992079,-0.2293517,0.5546839,-0.5618003,0.2397353,0.3217733
2019/8/22,0.1077995,0.1889489,-0.8689201,-1.052059,-0.8424744,0.04578132,-0.4326754,0.1655662,0.03781631
2019/8/23,0.4851848,-2.374425,-1.139143,-0.4657598,0.5014042,0.4018826,-0.6171998,-0.5559891,0.07910971
2019/8/27,1.348885,-0.4669311,0.6740738,-0.07610878,-0.06331603,0.9626408,0.7230468,0.07144227,0.3154178
2019/8/28,-0.2907116,1.00163,-0.3395161,0.3544622,-0.1893302,0.1140973,-0.2849931,-0.3602274,0.4530521
2019/8/29,-0.09804413,1.252685,1.511891,0.9783936,0.3436185,-0.0902869,0.8227964,0.8297188,0.2696844
2019/8/30,-0.1619852,0.1556365,0.5598153,0.3181978,0.08259758,1.189777,0.5810848,0.8011454,1.487419
2019/9/3,0.2068023,-1.080395,-0.4909889,-0.1888233,-0.385152,0.024106,-0.7238607,0.2487843,-0.7206463
2019/9/4,0.9302522,0.9091469,1.207449,0.5925798,3.899196,0.116268,0.4252582,1.292299,0.9386024
2019/9/5,0.9620958,1.414051,1.10809,-0.5483302,-0.02903557,2.115337,0.8941312,0.5267408,0.9347586
2019/9/6,0.4600699,0.2593167,0.1898697,0.1536193,0.6608598,0.538894,0.909039,-0.08198376,0.2204157
2019/9/11,-0.4101304,0.845835,0.4442905,0.9642277,1.781542,0.9613837,0.7794973,1.546722,0.3419283
2019/9/17,-1.736761,0.1254965,0.2370446,-0.01379862,-1.232502,0.0592645,0.4476781,-0.6532581,-0.2168251
2019/9/18,0.2532142,0.1338186,0.09153464,-0.08674523,-0.1348293,-0.184577,0.05012604,-0.5076944,0.5053124
2019/9/19,0.4561848,-0.1926211,0.6837319,0.5792976,-1.065892,0.3813095,0.4553433,-0.2538821,-0.3179483
2019/9/20,0.2389898,-0.5894814,0.5601565,-0.156326,-0.1257296,0.1571399,-0.07581016,0.02785497,0.3211675
2019/9/24,0.2775932,-0.5277208,-0.04315026,-0.4729665,0.2234716,0.08945115,-0.06081666,0.3887699,-0.009247769
2019/9/25,-1.001836,0.6078141,-0.7911809,-0.01974841,-1.27716,-0.3560796,-0.7655579,-0.9393208,-0.4059287
2019/9/26,-0.8914085,-0.2951046,0.6585125,0.8379962,0.3722443,0.1275643,1.00536,-0.000320229,-0.01563586
2019/9/27,0.1051549,-0.2635411,0.3560182,1.022025,-0.3345341,-0.7680424,0.2327582,-0.005764131,-0.3891702
2019/10/15,-0.5598002,0.8863935,1.044992,-0.02509283,-0.06756664,1.873225,0.8481305,-0.2650076,0.4052572
2019/10/16,-0.4123311,-0.08444211,-0.09031668,-0.6058253,0.6050032,1.196499,-0.1618088,0.5949624,0.459244
2019/10/17,-0.04625925,0.08851347,-0.418299,0.2004706,0.6908529,-0.09371522,-0.2347354,-0.2733927,0.2154454
2019/10/18,-1.316375,-0.9460622,-0.6490282,-0.4420577,-0.4801393,0.1818126,-0.4341138,-0.3832196,-0.05953542
2019/10/23,-0.4319347,0.1711566,-0.075119,0.6689784,-0.8193352,0.3391761,0.06159236,-0.5185575,-0.2801826
2019/10/24,-0.02369517,-0.1059103,0.5463954,0.9297917,0.870332,0.5534437,0.8281596,0.7820578,0.7159439
2019/10/25,0.4764149,0.569029,0.6653348,-0.05157828,-0.4871962,0.2163061,0.89605,0.5257367,-0.2121841
2019/10/29,-0.8682088,-0.07124499,0.1670046,-0.3412777,-0.3886021,0.4673113,0.2530408,0.3613217,0.1665979
